id,keyword,phonetic_code
1878,sports-profile-urban-slums,S1632
1879,poignant-scientific,P2553
1880,compelling-social-issue,C5145
1881,urgent-investigative,U6253
1882,investigative-government-archives,I5123
1883,provocative-historical,P6123
1884,analytical-biographical,A5432
1885,earnest-sports-profile,E6523
1886,biographical-public-protest,B2612
1887,candid-cultural-anthropology,C5332
1888,revealing-cultural-anthropology,R1452
1889,political-government-archives,P4324
1890,true-crime-research-laboratory,T6265
1891,revealing-biographical,R1452
1892,poignant-true-crime,P2553
1893,social-issue-concert-stage,S2422
1894,raw-biographical,R1261
1895,compelling-sports-profile,C5145
1896,unfiltered-social-issue,U5143
1897,provocative-cultural-anthropology,P6123
1898,candid-nature,C5335
1899,sports-profile-public-protest,S1632
1900,historical-remote-wilderness,H2362
1901,raw-historical,R2362
1902,candid-scientific,C5332
1903,sports-profile-remote-wilderness,S1632
1904,investigative-public-protest,I5123
1905,informative-scientific,I5165
1906,poignant-sports-profile,P2553
1907,social-issue-private-residence,S2421
1908,raw-scientific,R2531
1909,objective-historical,O1223
1910,candid-historical,C5332
1911,historical-concert-stage,H2362
1912,nature-concert-stage,N3625
1913,historical-private-residence,H2362
1914,provocative-social-issue,P6123
1915,in-depth-social-issue,I5313
1916,investigative-research-laboratory,I5123
1917,objective-nature,O1223
1918,unfiltered-biographical,U5143
1919,political-remote-wilderness,P4324
1920,sports-profile-war-zone,S1632
1921,poignant-nature,P2553
1922,candid-true-crime,C5336
1923,social-issue-remote-wilderness,S2426
1924,compelling-scientific,C5145
1925,revealing-political,R1452
1926,sober-sports-profile,S1621
1927,social-issue-research-laboratory,S2426
1928,in-depth-sports-profile,I5313
1929,revealing-historical,R1452
1930,true-crime-remote-wilderness,T6265
1931,historical-government-archives,H2362
1932,earnest-psychological-study,E6523
1933,character-study-isolated-retreat,C6236
1934,thoughtful-political-drama,T2314
1935,emotional-medical-drama,E5354
1936,family-saga-hospital,F5422
1937,family-saga-courtroom,F5422
1938,heartbreaking-social-realism,H6316
1939,period-piece-corporate-office,P6312
1940,social-realism-isolated-retreat,S2464
1941,political-drama-family-home,P4324
1942,gritty-psychological-study,G6312
1943,social-realism-family-home,S2464
1944,nuanced-psychological-study,N5231
1945,melancholic-medical-drama,M4524
1946,melodrama-small-town-community,M4365
1947,intense-political-drama,I5352
1948,thoughtful-medical-drama,T2314
1949,nuanced-social-realism,N5232
1950,poignant-medical-drama,P2553
1951,nuanced-period-piece,N5231
1952,gritty-political-drama,G6314
1953,character-study-courtroom,C6236
1954,introspective-political-drama,I5362
1955,character-study-small-town-community,C6236
1956,emotional-character-study,E5354
1957,heartbreaking-psychological-study,H6316
1958,gritty-legal-drama,G6342
1959,medical-drama-historical-setting,M3243
1960,gritty-period-piece,G6316
1961,heartbreaking-melodrama,H6316
1962,intense-melodrama,I5352
1963,social-realism-corporate-office,S2464
1964,character-study-corporate-office,C6236
1965,slow-burn-social-realism,S4165
1966,emotional-psychological-study,E5354
1967,period-piece-isolated-retreat,P6312
1968,thoughtful-romantic-drama,T2314
1969,earnest-character-study,E6523
1970,character-study-historical-setting,C6236
1971,tense-family-saga,T5215
1972,heartbreaking-political-drama,H6316
1973,poignant-period-piece,P2553
1974,visceral-family-saga,V2641
1975,heartbreaking-romantic-drama,H6316
1976,thoughtful-character-study,T2314
1977,emotional-social-realism,E5354
1978,tense-medical-drama,T5253
1979,tense-psychological-study,T5212
1980,visceral-period-piece,V2641
1981,nuanced-character-study,N5232
1982,character-study-university,C6236
1983,melodrama-isolated-retreat,M4365
1984,melancholic-political-drama,M4524
1985,period-piece-historical-setting,P6312
1986,intense-family-saga,I5352
1987,character-driven-legal-drama,C6236
1988,psychological-study-small-town-community,P2242
1989,emotional-legal-drama,E5354
1990,tense-social-realism,T5222
1991,heartbreaking-family-saga,H6316
1992,intense-legal-drama,I5352
1993,medical-drama-family-home,M3243
1994,visceral-romantic-drama,V2646
1995,gritty-character-study,G6326
1996,emotional-political-drama,E5354
1997,period-piece-university,P6312
1998,earnest-melodrama,E6523
1999,earnest-political-drama,E6523
2000,political-drama-small-town-community,P4324
2001,somber-political-drama,S5161
2002,intense-psychological-study,I5352
2003,character-driven-family-saga,C6236
2004,slow-burn-medical-drama,S4165
2005,character-driven-romantic-drama,C6236
2006,intense-character-study,I5352
2007,gritty-melodrama,G6354
2008,psychological-study-hospital,P2242
2009,nuanced-family-saga,N5231
2010,visceral-melodrama,V2645
2011,thoughtful-social-realism,T2314
2012,poignant-romantic-drama,P2553
2013,psychological-study-corporate-office,P2242
2014,family-saga-small-town-community,F5422
2015,nuanced-romantic-drama,N5236
2016,family-saga-corporate-office,F5422
2017,visceral-medical-drama,V2645
2018,character-driven-psychological-study,C6236
2019,heartbreaking-period-piece,H6316
2020,thoughtful-period-piece,T2314
2021,family-saga-family-home,F5422
2022,thoughtful-family-saga,T2314
2023,social-realism-small-town-community,S2464
2024,character-driven-political-drama,C6236
2025,slow-burn-family-saga,S4165
2026,introspective-medical-drama,I5362
2027,poignant-character-study,P2553
2028,thoughtful-legal-drama,T2314
2029,social-realism-hospital,S2464
2030,melodrama-historical-setting,M4365
2031,character-study-family-home,C6236
2032,heartbreaking-legal-drama,H6316
2033,earnest-period-piece,E6523
2034,heavy-political-drama,H1143
2035,poignant-psychological-study,P2553
2036,thoughtful-melodrama,T2314
2037,gritty-social-realism,G6322
2038,slow-burn-melodrama,S4165
2039,intense-romantic-drama,I5352
2040,intense-social-realism,I5352
2041,heavy-medical-drama,H1532
2042,medical-drama-isolated-retreat,M3243
2043,gritty-family-saga,G6315
2044,slow-burn-psychological-study,S4165
2045,melodrama-family-home,M4365
2046,medical-drama-courtroom,M3243
2047,medical-drama-small-town-community,M3243
2048,emotional-period-piece,E5354
2049,visceral-legal-drama,V2642
2050,character-study-hospital,C6236
2051,family-saga-university,F5422
2052,tense-character-study,T5226
2053,tense-melodrama,T5254
2054,slow-burn-romantic-drama,S4165
2055,psychological-study-courtroom,P2242
2056,heartbreaking-character-study,H6316
2057,poignant-melodrama,P2553
2058,period-piece-family-home,P6312
2059,character-driven-character-study,C6236
2060,gritty-romantic-drama,G6365
2061,nuanced-medical-drama,N5235
2062,medical-drama-university,M3243
2063,period-piece-hospital,P6312
2064,melodrama-corporate-office,M4365
2065,intense-period-piece,I5352
2066,nuanced-melodrama,N5235
2067,period-piece-small-town-community,P6312
2068,emotional-family-saga,E5354
2069,melodrama-courtroom,M4365
2070,political-drama-courtroom,P4324
2071,somber-medical-drama,S5165
2072,earnest-medical-drama,E6523
2073,character-driven-social-realism,C6236
2074,poignant-family-saga,P2553
2075,social-realism-university,S2464
2076,melodrama-university,M4365
2077,emotional-romantic-drama,E5354
2078,earnest-social-realism,E6523
2079,medical-drama-hospital,M3243
2080,psychological-study-historical-setting,P2242
2081,visceral-character-study,V2642
2082,character-driven-melodrama,C6236
2083,tense-period-piece,T5216
2084,poignant-legal-drama,P2553
2085,family-saga-isolated-retreat,F5422
2086,social-realism-historical-setting,S2464
2087,melodrama-hospital,M4365
2088,slow-burn-period-piece,S4165
2089,emotional-melodrama,E5354
2090,character-driven-medical-drama,C6236
2091,poignant-social-realism,P2553
2092,nuanced-legal-drama,N5234
2093,nuanced-political-drama,N5231
2094,slow-burn-legal-drama,S4165
2095,intense-medical-drama,I5352
2096,political-drama-corporate-office,P4324
2097,political-drama-university,P4324
2098,psychological-study-family-home,P2242
2099,gritty-medical-drama,G6353
2100,visceral-psychological-study,V2641
2101,heartbreaking-medical-drama,H6316
2102,social-realism-courtroom,S2464
2103,medical-drama-corporate-office,M3243
2104,visceral-political-drama,V2641
2105,earnest-family-saga,E6523
2106,political-drama-hospital,P4324
2107,poignant-political-drama,P2553
2108,political-drama-historical-setting,P4324
2109,family-saga-historical-setting,F5422
2110,slow-burn-political-drama,S4165
2111,visceral-social-realism,V2642
2112,psychological-study-isolated-retreat,P2242
2113,psychological-study-university,P2242
2114,political-drama-isolated-retreat,P4324
2115,period-piece-courtroom,P6312
2116,slow-burn-character-study,S4165
2117,character-driven-period-piece,C6236
2118,thoughtful-psychological-study,T2314
2119,tense-political-drama,T5214
2120,cheerful-holiday-tradition,C6144
2121,heartwarming-youth-adventure,H6365
2122,educational-animated-feature,E3235
2123,PG-rated-youth-adventure,P2633
2124,heartwarming-summer-vacation,H6365
2125,parent-child-bond-streaming-platform,P6532
2126,heartwarming-coming-of-age,H6365
2127,sibling-rivalry-weekend-matinee,S1452
2128,coming-of-age-holiday-release,C5521
2129,holiday-tradition-holiday-release,H4336
2130,animated-hybrid-animated-feature,A5533
2131,gentle-coming-of-age,G5342
2132,critically-acclaimed-summer-vacation,C6324
2133,gentle-animated-feature,G5345
2134,educational-pet-companion,E3235
2135,box-office-hit-youth-adventure,B2123
2136,animated-feature-weekend-matinee,A5533
2137,holiday-tradition-weekend-matinee,H4336
2138,family-friendly-coming-of-age,F5416
2139,uplifting-holiday-tradition,U1413
2140,animated-feature-summer-blockbuster,A5533
2141,sibling-rivalry-streaming-platform,S1452
2142,school-life-home-video,S4151
2143,parent-child-bond-holiday-release,P6532
2144,family-friendly-summer-vacation,F5416
2145,box-office-hit-animated-feature,B2123
2146,educational-holiday-tradition,E3235
2147,pet-companion-streaming-platform,P3251
2148,summer-vacation-streaming-platform,S5612
2149,lighthearted-coming-of-age,L2363
2150,lighthearted-animated-feature,L2363
2151,box-office-hit-parent-child-bond,B2123
2152,lighthearted-school-life,L2363
2153,educational-parent-child-bond,E3235
2154,PG-rated-summer-vacation,P2633
2155,innocent-holiday-tradition,I5253
2156,pet-companion-weekend-matinee,P3251
2157,critically-acclaimed-pet-companion,C6324
2158,animated-hybrid-summer-vacation,A5533
2159,PG-rated-parent-child-bond,P2633
2160,animated-hybrid-coming-of-age,A5533
2161,coming-of-age-family-night,C5521
2162,holiday-tradition-home-video,H4336
2163,G-rated-school-life,G6332
2164,wholesome-summer-vacation,W4252
2165,school-life-summer-blockbuster,S4125
2166,box-office-hit-pet-companion,B2123
2167,G-rated-sibling-rivalry,G6332
2168,G-rated-magical-creature,G6335
2169,summer-vacation-home-video,S5612
2170,lighthearted-summer-vacation,L2363
2171,G-rated-summer-vacation,G6332
2172,playful-summer-vacation,P4142
2173,coming-of-age-summer-blockbuster,C5521
2174,family-friendly-animated-feature,F5416
2175,educational-school-life,E3235
2176,nostalgic-pet-companion,N2342
2177,coming-of-age-weekend-matinee,C5521
2178,pet-companion-family-night,P3251
2179,family-friendly-sibling-rivalry,F5416
2180,gentle-sibling-rivalry,G5342
2181,wholesome-holiday-tradition,W4254
2182,sibling-rivalry-home-video,S1452
2183,animated-feature-theatrical-event,A5533
2184,PG-rated-coming-of-age,P2633
2185,wholesome-magical-creature,W4255
2186,summer-vacation-summer-blockbuster,S5612
2187,family-friendly-pet-companion,F5416
2188,PG-rated-pet-companion,P2633
2189,critically-acclaimed-magical-creature,C6324
2190,sibling-rivalry-family-night,S1452
2191,PG-rated-sibling-rivalry,P2633
2192,coming-of-age-theatrical-event,C5521
2193,critically-acclaimed-school-life,C6324
2194,sibling-rivalry-school-screening,S1452
2195,gentle-holiday-tradition,G5344
2196,PG-rated-magical-creature,P2633
2197,school-life-school-screening,S4124
2198,educational-coming-of-age,E3235
2199,playful-sibling-rivalry,P4142
2200,lighthearted-parent-child-bond,L2363
2201,uplifting-pet-companion,U1413
2202,sibling-rivalry-theatrical-event,S1452
2203,family-friendly-holiday-tradition,F5416
2204,playful-holiday-tradition,P4144
2205,critically-acclaimed-coming-of-age,C6324
2206,PG-rated-school-life,P2633
2207,heartwarming-holiday-tradition,H6365
2208,PG-rated-holiday-tradition,P2633
2209,wholesome-sibling-rivalry,W4252
2210,innocent-pet-companion,I5253
2211,wholesome-school-life,W4252
2212,family-friendly-parent-child-bond,F5416
2213,lighthearted-youth-adventure,L2363
2214,school-life-weekend-matinee,S4125
2215,heartwarming-pet-companion,H6365
2216,summer-vacation-family-night,S5612
2217,mythical-beast-literary-adaptation,M3241
2218,magic-system-cinematic-universe,M2223
2219,ancient-prophecy-immersive-experience,A5253
2220,grandiose-cursed-artifact,G6532
2221,critically-acclaimed-hidden-realm,C6324
2222,dark-fantasy-magic-system,D6215
2223,dark-fantasy-mythical-beast,D6215
2224,magic-system-literary-adaptation,M2223
2225,magic-system-world-building,M2223
2226,critically-acclaimed-cursed-artifact,C6324
2227,epic-scale-medieval-setting,E1245
2228,dramatic-chosen-one,D6532
2229,chosen-one-franchise-starter,C2551
2230,box-office-hit-hidden-realm,B2123
2231,mythic-ancient-prophecy,M3252
2232,sword-and-sorcery-magic-system,S6353
2233,supernatural-chosen-one,S1653
2234,box-office-hit-mythological-gods,B2123
2235,grandiose-mythical-beast,G6532
2236,medieval-setting-immersive-experience,M3142
2237,supernatural-dark-sorcery,S1653
2238,grandiose-medieval-setting,G6532
2239,high-fantasy-ancient-prophecy,H2153
2240,supernatural-mythical-beast,S1653
2241,ancient-prophecy-cinematic-universe,A5253
2242,urban-fantasy-magic-system,U6151
2243,magic-system-epic-trilogy,M2223
2244,grandiose-ancient-prophecy,G6532
2245,chosen-one-immersive-experience,C2555
2246,magic-system-franchise-starter,M2223
2247,box-office-hit-medieval-setting,B2123
2248,ancient-prophecy-visual-effects-heavy,A5253
2249,mythical-beast-world-building,M3241
2250,grandiose-magic-system,G6532
2251,critically-acclaimed-medieval-setting,C6324
2252,hidden-realm-immersive-experience,H3564
2253,ancient-prophecy-mythology-adaptation,A5253
2254,otherworldly-mythological-gods,O3664
2255,hidden-realm-visual-effects-heavy,H3564
2256,urban-fantasy-chosen-one,U6151
2257,mythic-dark-sorcery,M3236
2258,epic-scale-cursed-artifact,E1242
2259,high-fantasy-magic-system,H2153
2260,sword-and-sorcery-medieval-setting,S6353
2261,epic-scale-chosen-one,E1242
2262,epic-scale-mythical-beast,E1245
2263,otherworldly-cursed-artifact,O3664
2264,dark-fantasy-enchanted-forest,D6215
2265,cursed-artifact-immersive-experience,C6236
2266,medieval-setting-visual-effects-heavy,M3142
2267,ominous-enchanted-forest,O5525
2268,chosen-one-literary-adaptation,C2554
2269,ominous-medieval-setting,O5525
2270,enchanted-forest-literary-adaptation,E5253
2271,urban-fantasy-hidden-realm,U6151
2272,ancient-prophecy-world-building,A5253
2273,mythic-medieval-setting,M3253
2274,mythic-mythical-beast,M3253
2275,otherworldly-dark-sorcery,O3664
2276,otherworldly-enchanted-forest,O3664
2277,dark-fantasy-dark-sorcery,D6215
2278,supernatural-hidden-realm,S1653
2279,enchanted-forest-world-building,E5253
2280,ominous-cursed-artifact,O5526
2281,ancient-prophecy-epic-trilogy,A5253
2282,supernatural-mythological-gods,S1653
2283,mysterious-medieval-setting,M2362
2284,hidden-realm-mythology-adaptation,H3564
2285,supernatural-medieval-setting,S1653
2286,magic-system-mythology-adaptation,M2223
2287,high-fantasy-chosen-one,H2153
2288,dramatic-medieval-setting,D6532
2289,critically-acclaimed-enchanted-forest,C6324
2290,cursed-artifact-franchise-starter,C6236
2291,ancient-prophecy-literary-adaptation,A5253
2292,urban-fantasy-cursed-artifact,U6151
2293,mythic-magic-system,M3252
2294,ominous-hidden-realm,O5523
2295,sword-and-sorcery-hidden-realm,S6353
2296,awe-inspiring-chosen-one,A5216
2297,high-fantasy-medieval-setting,H2153
2298,urban-fantasy-mythical-beast,U6151
2299,grandiose-hidden-realm,G6532
2300,mythical-beast-epic-trilogy,M3241
2301,enchanted-forest-mythology-adaptation,E5253
2302,medieval-setting-franchise-starter,M3142
2303,ethereal-chosen-one,E3642
2304,medieval-setting-world-building,M3142
2305,urban-fantasy-ancient-prophecy,U6151
2306,chosen-one-cinematic-universe,C2552
2307,critically-acclaimed-mythological-gods,C6324
2308,critically-acclaimed-dark-sorcery,C6324
2309,supernatural-ancient-prophecy,S1653
2310,dark-fantasy-ancient-prophecy,D6215
2311,medieval-setting-cinematic-universe,M3142
2312,chosen-one-world-building,C2556
2313,sword-and-sorcery-enchanted-forest,S6353
2314,stylized-moral-ambiguity,S3423
2315,critically-acclaimed-smoke-filled-room,C6324
2316,smoke-filled-room-cult-classic,S5214
2317,gritty-cynical-narrator,G6325
2318,suspenseful-femme-fatale,S2152
2319,shadowy-alley-period-piece,S3416
2320,private-investigator-arthouse-cinema,P6135
2321,hardboiled-moral-ambiguity,H6314
2322,femme-fatale-late-night-viewing,F5134
2323,hardboiled-betrayal,H6314
2324,hardboiled-cynical-narrator,H6314
2325,melancholy-corrupt-official,M4524
2326,betrayal-arthouse-cinema,B3646
2327,shadowy-alley-psychological-thriller,S3412
2328,betrayal-psychological-thriller,B3641
2329,neo-noir-private-investigator,N5616
2330,critically-acclaimed-betrayal,C6324
2331,femme-fatale-psychological-thriller,F5134
2332,pessimistic-betrayal,P2523
2333,critically-acclaimed-cold-case,C6324
2334,claustrophobic-cynical-narrator,C4236
2335,critically-acclaimed-shadowy-alley,C6324
2336,critically-acclaimed-corrupt-official,C6324
2337,tense-smoke-filled-room,T5225
2338,ancient-civilization-awards-season,A5253
2339,academic-ancient-civilization,A2352
2340,somber-landmark-event,S5164
2341,war-campaign-historical-archive,W6251
2342,industrial-revolution-cultural-heritage,I5323
2343,critically-acclaimed-period-costume,C6324
2344,epic-historical-landmark-event,E1223
2345,biographical-ancient-civilization,B2612
2346,fact-based-industrial-revolution,F2312
2347,social-movement-awards-season,S2451
2348,academic-social-movement,A2352
2349,biographical-period-costume,B2612
2350,royal-court-political-commentary,R4263
2351,revisionist-archival-footage,R1252
2352,docudrama-ancient-civilization,D2365
2353,box-office-hit-war-campaign,B2123
2354,biographical-biographical-account,B2612
2355,weighty-ancient-civilization,W2352
2356,box-office-hit-social-movement,B2123
2357,fact-based-war-campaign,F2312
2358,epic-historical-social-movement,E1223
2359,social-movement-prestige-drama,S2451
2360,intellectual-landmark-event,I5342
2361,reflective-landmark-event,R1423
2362,box-office-hit-royal-court,B2123
2363,royal-court-educational-curriculum,R4263
2364,war-campaign-prestige-drama,W6251
2365,box-office-hit-archival-footage,B2123
2366,social-movement-historical-archive,S2451
2367,political-upheaval-awards-season,P4324
2368,docudrama-biographical-account,D2365
2369,dignified-industrial-revolution,D2513
2370,ancient-civilization-biopic-series,A5253
2371,authentic-landmark-event,A3532
2372,revisionist-political-upheaval,R1252
2373,weighty-political-upheaval,W2314
2374,revisionist-industrial-revolution,R1252
2375,industrial-revolution-biopic-series,I5323
2376,royal-court-cultural-heritage,R4263
2377,epic-historical-political-upheaval,E1223
2378,docudrama-period-costume,D2365
2379,period-accurate-ancient-civilization,P6326
2380,biographical-political-upheaval,B2612
2381,authentic-ancient-civilization,A3532
2382,ancient-civilization-historical-archive,A5253
2383,academic-biographical-account,A2352
2384,box-office-hit-period-costume,B2123
2385,revisionist-landmark-event,R1252
2386,war-campaign-educational-curriculum,W6251
2387,gory-supernatural entity,G6216
2388,jump-scare heavy-creature feature,J5126
2389,atmospheric-isolated cabin,A3521
2390,supernatural-haunted asylum,S1653
2391,disturbing-demonic possession,D2361
2392,slasher-film festival premiere,S4261
2393,dread-urban legend,D6361
2394,atmospheric-supernatural entity,A3521
2395,gory-found footage,G6153
2396,supernatural entity-limited release,S1653
2397,found footage-midnight screening,F5313
2398,ominous-demonic possession,O5523
2399,supernatural-isolated cabin,S1653
2400,unrated-demonic possession,U5633
2401,jump-scare heavy-demonic possession,J5126
2402,supernatural-found footage,S1653
2403,demonic possession-film festival premiere,D5521
2404,found-footage style-found footage,F5313
2405,slow-burn-found footage,S4165
2406,slow-burn-demonic possession,S4165
2407,ominous-found footage,O5521
2408,ominous-psychological breakdown,O5521
2409,slasher-direct-to-video,S4263
2410,jump-scare heavy-slasher,J5126
2411,disturbing-slasher,D2361
2412,slasher-theatrical release,S4263
2413,gory-slasher,G6242
2414,jump-scare heavy-urban legend,J5126
2415,slow-burn-occult ritual,S4165
2416,found-footage style-haunted asylum,F5313
2417,found-footage style-demonic possession,F5313
2418,supernatural entity-franchise reboot,S1653
2419,supernatural-creature feature,S1653
2420,macabre-supernatural entity,M2162
2421,demonic possession-theatrical release,D5521
2422,macabre-urban legend,M2166
2423,tense-urban legend,T5261
2424,isolated cabin-theatrical release,I2433
2425,urban legend-midnight screening,U6154
2426,disturbing-occult ritual,D2361
2427,slow-burn-creature feature,S4165
2428,isolated cabin-limited release,I2433
2429,urban legend-film festival premiere,U6154
2430,macabre-isolated cabin,M2162
2431,psychological breakdown-streaming exclusive,P2242
2432,unsettling-psychological breakdown,U5234
2433,demonic possession-limited release,D5521
2434,visceral-isolated cabin,V2642
2435,urban legend-direct-to-video,U6154
2436,unrated-haunted asylum,U5633
2437,unrated-creature feature,U5633
2438,psychological-occult ritual,P2242
2439,visceral-found footage,V2641
2440,disturbing-isolated cabin,D2361
2441,slow-burn-psychological breakdown,S4165
2442,found footage-theatrical release,F5313
2443,menacing-psychological breakdown,M5252
2444,unrated-found footage,U5633
2445,unrated-occult ritual,U5633
2446,isolated cabin-post-production,I2433
2447,psychological-psychological breakdown,P2242
2448,supernatural entity-midnight screening,S1653
2449,ominous-haunted asylum,O5525
2450,psychological breakdown-direct-to-video,P2242
2451,urban legend-limited release,U6154
2452,ominous-slasher,O5524
2453,visceral-occult ritual,V2642
2454,found-footage style-psychological breakdown,F5313
2455,psychological breakdown-midnight screening,P2242
2456,haunted asylum-theatrical release,H5332
2457,psychological breakdown-franchise reboot,P2242
2458,atmospheric-found footage,A3521
2459,jump-scare heavy-occult ritual,J5126
2460,urban legend-post-production,U6154
2461,ominous-supernatural entity,O5521
2462,visceral-creature feature,V2642
2463,found footage-film festival premiere,F5313
2464,supernatural-supernatural entity,S1653
2465,slow-burn-supernatural entity,S4165
2466,psychological-haunted asylum,P2242
2467,ominous-isolated cabin,O5522
2468,disturbing-supernatural entity,D2361
2469,unrated-slasher,U5633
2470,disturbing-psychological breakdown,D2361
2471,gory-demonic possession,G6355
2472,haunted asylum-midnight screening,H5332
2473,psychological-isolated cabin,P2242
2474,found-footage style-supernatural entity,F5313
2475,demonic possession-post-production,D5521
2476,unrated-psychological breakdown,U5633
2477,psychological-supernatural entity,P2242
2478,visceral-urban legend,V2646
2479,macabre-slasher,M2162
2480,slasher-franchise reboot,S4261
2481,slow-burn-isolated cabin,S4165
2482,jump-scare heavy-haunted asylum,J5126
2483,demonic possession-direct-to-video,D5521
2484,unrated-isolated cabin,U5633
2485,slasher-midnight screening,S4265
2486,gory-isolated cabin,G6243
2487,found-footage style-isolated cabin,F5313
2488,demonic possession-streaming exclusive,D5521
2489,psychological breakdown-theatrical release,P2242
2490,supernatural-psychological breakdown,S1653
2491,supernatural entity-theatrical release,S1653
2492,tense-psychological breakdown,T5212
2493,isolated cabin-midnight screening,I2433
2494,ominous-urban legend,O5526
2495,atmospheric-haunted asylum,A3521
2496,slow-burn-urban legend,S4165
2497,psychological-slasher,P2242
2498,haunted asylum-film festival premiere,H5332
2499,found-footage style-occult ritual,F5313
2500,psychological-demonic possession,P2242
2501,isolated cabin-franchise reboot,I2433
2502,disturbing-creature feature,D2361
2503,disturbing-urban legend,D2361
2504,unrated-supernatural entity,U5633
2505,disturbing-haunted asylum,D2361
2506,slow-burn-haunted asylum,S4165
2507,atmospheric-slasher,A3521
2508,gory-haunted asylum,G6533
2509,rhythmic-band formation,R3521
2510,biographical documentary-theatrical event,B2612
2511,documentary-style-music industry exposé,D2553
2512,melodic-biographical documentary,M4321
2513,remastered-live performance,R5236
2514,career-spanning-biographical documentary,C6621
2515,tour footage-digital release,T6132
2516,career-spanning-studio recording session,C6621
2517,band formation-television special,B5316
2518,cinematic-studio recording session,C5532
2519,intimate-backstage access,I5353
2520,documentary-style-studio recording session,D2553
2521,tour footage-promotional tour,T6132
2522,cinematic-concert film,C5532
2523,passionate-music industry exposé,P2535
2524,concert film-anniversary edition,C5263
2525,cinematic-backstage access,C5532
2526,behind-the-scenes-concert film,B5325
2527,backstage access-television special,B2322
2528,documentary-style-backstage access,D2553
2529,studio recording session-streaming platform,S3362
2530,passionate-band formation,P2531
2531,behind-the-scenes-biographical documentary,B5325
2532,music industry exposé-streaming platform,M2253
2533,career-spanning-live performance,C6621
2534,box-office-hit-music industry exposé,B2123
2535,band formation-limited engagement,B5316
2536,documentary-style-tour footage,D2553
2537,intimate-songwriting process,I5353
2538,live-concert film,L1252
2539,biographical documentary-archival restoration,B2612
2540,live-biographical documentary,L1126
2541,career-spanning-backstage access,C6621
2542,remastered-backstage access,R5236
2543,cinematic-tour footage,C5532
2544,tour footage-anniversary edition,T6132
2545,studio recording session-television special,S3362
2546,music industry exposé-anniversary edition,M2253
2547,intimate-live performance,I5353
2548,energetic-band formation,E5623
2549,backstage access-streaming platform,B2322
2550,live performance-theatrical event,L1161
2551,critically-acclaimed-biographical documentary,C6324
2552,unplugged-live performance,U5142
2553,critically-acclaimed-live performance,C6324
2554,box-office-hit-backstage access,B2123
2555,intimate-concert film,I5353
2556,remastered-biographical documentary,R5236
2557,studio recording session-anniversary edition,S3362
2558,ensemble-driven-romantic subplot,E5251
2559,whimsical-musical number,W5224
2560,theatrical stage adaptation-stage-to-screen,T3624
2561,original song score-holiday release,O6254
2562,lavish-backstage drama,L1212
2563,joyful-theatrical stage adaptation,J1433
2564,dramatic-showtune,D6532
2565,box-office-hit-period setting,B2123
2566,ensemble-driven-showtune,E5251
2567,backstage drama-stage-to-screen,B2323
2568,melodramatic-musical number,M4365
2569,musical number-direct-to-digital,M2245
2570,ensemble-driven-musical number,E5251
2571,critically-acclaimed-backstage drama,C6324
2572,uplifting-showtune,U1413
2573,backstage drama-anniversary revival,B2323
2574,ensemble-driven-dance choreography,E5251
2575,sentimental-period setting,S5355
2576,period setting-streaming premiere,P6323
2577,technicolor-musical number,T2524
2578,showtune-stage-to-screen,S3523
2579,theatrical stage adaptation-holiday release,T3624
2580,showtune-anniversary revival,S3551
2581,melodramatic-romantic subplot,M4365
2582,noir-private investigator,N6161
2583,unreliable narrator-direct-to-video,U5641
2584,twisty-whodunit,T2335
2585,missing person-sequel,M2521
2586,whodunit-sequel,W3532
2587,intense-detective investigation,I5352
2588,detective investigation-international distribution,D3231
2589,whodunit-theatrical release,W3533
2590,crime scene analysis-streaming series,C6525
2591,detective investigation-sequel,D3231
2592,gritty-cold case,G6324
2593,calculated-cold case,C4243
2594,crime scene analysis-limited series,C6525
2595,cold case-direct-to-video,C4322
2596,calculated-detective investigation,C4243
2597,whodunit-limited series,W3534
2598,box-office-hit-missing person,B2123
2599,detective investigation-theatrical release,D3231
2600,intense-locked room puzzle,I5352
2601,puzzling-crime scene analysis,P2452
2602,intense-private investigator,I5352
2603,complex-detective investigation,C5142
2604,twisty-crime scene analysis,T2326
2605,calculated-locked room puzzle,C4243
2606,locked room puzzle-limited series,L2365
2607,unreliable narrator-television movie,U5641
2608,crime scene analysis-international distribution,C6525
2609,complex-locked room puzzle,C5142
2610,twisty-detective investigation,T2333
2611,gritty-private investigator,G6316
2612,cold case-streaming series,C4322
2613,suspenseful-red herring,S2152
2614,twisty-hidden motive,T2335
2615,locked room puzzle-sequel,L2365
2616,private investigator-festival circuit,P6135
2617,calculated-whodunit,C4243
2618,complex-missing person,C5142
2619,box-office-hit-red herring,B2123
2620,cerebral-red herring,C6164
2621,complex-crime scene analysis,C5142
2622,private investigator-international distribution,P6135
2623,atmospheric-cold case,A3521
2624,intense-whodunit,I5352
2625,noir-cold case,N6243
2626,detective investigation-streaming series,D3231
2627,critically-acclaimed-detective investigation,C6324
2628,cold case-festival circuit,C4322
2629,noir-red herring,N6365
2630,puzzling-private investigator,P2452
2631,complex-unreliable narrator,C5142
2632,unreliable narrator-international distribution,U5641
2633,cold case-limited series,C4322
2634,box-office-hit-hidden motive,B2123
2635,puzzling-locked room puzzle,P2452
2636,complex-cold case,C5142
2637,gritty-whodunit,G6335
